DE/rand/1/bin for Advertising Allocation
迭代 1430: 最大转化用户数 = 44538.65
迭代 1440: 最大转化用户数 = 44538.65
迭代 1450: 最大转化用户数 = 44538.65
迭代 1460: 最大转化用户数 = 44538.65
迭代 1470: 最大转化用户数 = 44538.65
迭代 1480: 最大转化用户数 = 44538.65
迭代 1490: 最大转化用户数 = 44538.65
迭代 1500: 最大转化用户数 = 44538.65
迭代 1510: 最大转化用户数 = 44538.65
迭代 1520: 最大转化用户数 = 44538.65
迭代 1530: 最大转化用户数 = 44538.65
迭代 1540: 最大转化用户数 = 44538.65
迭代 1550: 最大转化用户数 = 44538.65
迭代 1560: 最大转化用户数 = 44538.65
迭代 1570: 最大转化用户数 = 44538.65
迭代 1580: 最大转化用户数 = 44538.65
迭代 1590: 最大转化用户数 = 44538.65
迭代 1600: 最大转化用户数 = 44538.65
迭代 1610: 最大转化用户数 = 44538.65
迭代 1620: 最大转化用户数 = 44538.65
迭代 1630: 最大转化用户数 = 44538.65
迭代 1640: 最大转化用户数 = 44538.65
迭代 1650: 最大转化用户数 = 44538.65
迭代 1660: 最大转化用户数 = 44538.65
迭代 1670: 最大转化用户数 = 44538.65
迭代 1680: 最大转化用户数 = 44538.65
迭代 1690: 最大转化用户数 = 44538.65
迭代 1700: 最大转化用户数 = 44538.65
迭代 1710: 最大转化用户数 = 44538.65
迭代 1720: 最大转化用户数 = 44538.65
迭代 1730: 最大转化用户数 = 44538.65
迭代 1740: 最大转化用户数 = 44538.65
迭代 1750: 最大转化用户数 = 44538.65
迭代 1760: 最大转化用户数 = 44538.65
迭代 1770: 最大转化用户数 = 44538.65
迭代 1780: 最大转化用户数 = 44538.65
迭代 1790: 最大转化用户数 = 44538.65
迭代 1800: 最大转化用户数 = 44538.65
迭代 1810: 最大转化用户数 = 44538.65
迭代 1820: 最大转化用户数 = 44538.65
迭代 1830: 最大转化用户数 = 44538.65
迭代 1840: 最大转化用户数 = 44538.65
迭代 1850: 最大转化用户数 = 44538.65
迭代 1860: 最大转化用户数 = 44538.65
迭代 1870: 最大转化用户数 = 44538.65
迭代 1880: 最大转化用户数 = 44538.65
迭代 1890: 最大转化用户数 = 44538.65
迭代 1900: 最大转化用户数 = 44538.65
迭代 1910: 最大转化用户数 = 44538.65
迭代 1920: 最大转化用户数 = 44538.65
迭代 1930: 最大转化用户数 = 44538.65
迭代 1940: 最大转化用户数 = 44538.65
迭代 1950: 最大转化用户数 = 44538.65
迭代 1960: 最大转化用户数 = 44538.65
迭代 1970: 最大转化用户数 = 44538.65
迭代 1980: 最大转化用户数 = 44538.65
迭代 1990: 最大转化用户数 = 44538.65
迭代 2000: 最大转化用户数 = 44538.65

最优广告投放策略:
平台	投放金额(万元)	转化用户数(人)
1	3.62		8361.57
2	4.41		9946.07
3	2.94		6629.02
4	3.40		7354.65
5	5.67		12264.12
------------------------------------
总计	20.04		44555.44
预算利用率: 100.20%
